0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.9801	0.9986	0.3119	0.9968	0.9777	0.9987	0.0093	0.9384	0.9935	0.5993	0.7331	0.9549	0.9581	0.9375	0.4125	0.9889	0.9166	0.9908	0.9966	0.6476	0.9907
0.6089	0.8626	0.764	0.9955	0.9993	0.9966	0.0001	0.9797	0.9951	0.3967	0.6971	0.9895	0.9771	0.9993	0.9021	0.9947	0.9614	0.9978	0.9976	0.2246	0.9359
0.9073	0.9588	0.5784	0.9974	0.8698	0.999	0.0151	0.9089	0.995	0.6871	0.4111	0.5999	0.9806	0.9689	0.5977	0.9944	0.9569	0.9955	0.9977	0.9767	0.9981
0.9862	0.9544	0.9534	0.999	0.8379	0.9995	0.1273	0.801	0.9973	0.9978	0.908	0.787	0.987	0.9812	0.7844	0.9969	0.9998	0.9974	0.9989	0.537	0.9543
0.9488	0.855	0.5065	0.9984	0.6971	0.999	0.4021	0.615	0.994	0.4577	0.6899	0.7878	0.9775	0.9692	0.6267	0.9927	0.9647	0.9962	0.9975	0.2654	0.6433
0.7538	0.5251	0.0346	0.9986	0.8818	0.9994	0.349	0.5997	0.997	0.1312	0.4245	0.2204	0.9793	0.9719	0.9089	0.9918	0.9543	0.997	0.9969	0.2344	0.8733
0.9684	0.8744	0.2405	0.9979	0.9971	0.9985	0.118	0.7342	0.9949	0.72	0.9971	0.632	0.9797	0.9707	0.9079	0.9932	0.96	0.9965	0.9972	0.931	0.9993
0.7131	0.6448	0.3743	0.993	0.9022	0.9951	0.1099	0.7514	0.9933	0.6068	0.9425	0.7131	0.9426	0.9281	0.7346	0.9889	0.9309	0.9917	0.9965	0.3738	0.9378
0.8907	0.9854	0.587	0.9996	0.6183	0.9997	0.014	0.9205	0.9993	0.9995	0.9062	0.8271	0.9944	0.9921	0.9916	0.9989	0.9894	0.9988	0.9993	0.6514	0.7494
0.3535	0.563	0.4586	0.999	0.3952	1.0	0.1699	0.8811	0.9941	0.8958	0.606	0.8613	0.9806	0.9685	0.5706	0.9947	0.9629	0.9954	0.9981	0.516	0.3285
0.9057	0.9966	0.7604	0.9931	0.9994	0.9951	0.0343	0.7312	0.9913	0.4976	0.1724	0.695	0.9456	0.9134	0.6704	0.983	0.8851	0.9847	0.9899	0.8457	0.9942
0.6052	0.7083	0.8748	0.9947	0.8221	0.9964	0.1939	0.8298	0.9948	0.6927	0.38	0.764	0.9667	0.9355	0.5007	0.9886	0.9481	0.9926	0.9965	0.165	0.973
0.8783	0.9968	0.5691	1.0	0.3761	1.0	0.5289	0.6513	0.9994	0.8754	0.9318	0.0691	0.9977	0.9966	0.96	0.9995	0.9972	0.9998	1.0	0.8945	0.857
0.9208	0.9821	0.5597	0.9993	0.9974	0.9997	0.019	0.7613	0.9991	0.9878	0.7868	0.8676	0.9961	0.9943	0.9049	0.9983	0.9915	0.9992	0.9995	0.9638	0.9734
0.5258	0.9042	0.6775	0.998	0.8335	0.998	0.338	0.5563	0.9965	0.2714	0.1956	0.6362	0.9806	0.9693	0.6608	0.9935	0.9997	0.9957	0.9968	0.6988	0.9477
0.965	0.8956	0.6562	0.9913	0.8873	0.995	0.0336	0.9426	0.9928	0.613	0.5664	0.3309	0.9666	0.9987	0.8098	0.9921	0.9346	0.9868	0.9974	0.7576	0.9549
0.8849	0.9779	0.8149	0.9933	0.9561	0.9962	0.1387	0.7439	0.9931	0.0439	0.6914	0.6962	0.9563	0.9373	0.4125	0.9898	0.9189	0.9897	0.992	0.4697	0.9226
0.643	0.8747	0.4834	0.9993	0.034	0.9998	0.6256	0.5835	0.9993	0.7151	0.9757	0.7888	0.994	0.9939	0.9144	0.9982	0.9962	0.9997	0.9993	0.7703	0.347
0.7236	0.9636	0.7776	0.9928	0.5352	0.9965	0.1399	0.826	0.9954	0.8266	0.8314	0.9105	0.9633	0.9466	0.4735	0.9882	0.9123	0.9894	0.9913	0.9667	0.3079
0.9427	0.6042	0.758	0.9983	0.7071	0.9983	0.1658	0.8545	0.9956	0.6944	0.7643	0.88	0.9821	0.9787	0.6337	0.994	0.9666	0.9948	0.9971	0.5765	0.9368
0.7721	0.9385	0.5819	0.9997	0.4184	0.9998	0.6736	0.3408	0.9999	0.9591	0.8568	0.6458	0.9974	0.9951	0.938	0.9989	0.9947	0.9994	0.9999	0.8384	0.9542
0.7506	0.9256	0.2318	1.0	0.4674	1.0	0.7383	0.2003	0.9998	0.778	0.5842	0.1566	0.9984	0.9969	0.944	0.999	0.9952	0.9996	0.9992	0.8276	0.9475
